TIME,REGION,COUNTRY,COUNTRY_CODE, LIFE_EXP_FEMALE , LIFE_EXP_MALE , LIFE_EXP_TOTAL , POP_FEMALE , POP_MALE , POP_TOTAL , GDP_CAPITA , HEALTH_CAPITA 
2018,Asia,Turkmenistan,TKM, 72.19 , 65.41 , 68.80 ," 3,061,479 "," 3,003,587 "," 6,065,066 "," 14,665.43 ", 997.26 
2018,Oceania,Tuvalu,TUV, 68.73 , 60.57 , 64.21 ," 5,252 "," 5,613 "," 10,865 "," 4,383.45 ", 874.45 
2018,Africa,Uganda,UGA, 64.74 , 60.59 , 62.71 ," 20,994,287 "," 20,521,108 "," 41,515,395 "," 2,239.48 ", 94.88 
2018,Europe,Ukraine,UKR, 76.72 , 66.69 , 71.58 ," 23,945,847 "," 20,676,671 "," 44,622,518 "," 12,633.51 ", 903.54 
2018,Asia,United Arab Emirates,ARE, 81.79 , 78.03 , 79.63 ," 2,721,838 "," 6,418,331 "," 9,140,169 "," 73,270.67 "," 2,995.45 "
2018,Europe,United Kingdom,GBR, 83.10 , 79.50 , 81.26 ," 33,662,065 "," 32,798,279 "," 66,460,344 "," 47,202.20 "," 4,607.67 "
2018,North America,United States,USA, 81.20 , 76.20 , 78.64 ," 164,926,348 "," 161,911,851 "," 326,838,199 "," 62,823.31 "," 10,284.55 "
2018,South America,Uruguay,URY, 81.28 , 73.75 , 77.61 ," 1,769,223 "," 1,657,819 "," 3,427,042 "," 23,950.39 "," 2,140.17 "
2018,Asia,Uzbekistan,UZB, 73.82 , 68.48 , 71.15 ," 16,470,365 "," 16,485,735 "," 32,956,100 "," 7,289.33 ", 373.98 
2018,Oceania,Vanuatu,VUT, 72.30 , 67.75 , 69.80 ," 147,683 "," 149,615 "," 297,298 "," 3,118.30 ", 103.46 
2018,Asia,Vietnam,VNM, 78.78 , 69.25 , 73.98 ," 48,058,062 "," 46,856,269 "," 94,914,330 "," 9,867.67 ", 497.11 
2018,Africa,Zambia,ZMB, 64.92 , 59.67 , 62.34 ," 9,041,177 "," 8,794,716 "," 17,835,893 "," 3,508.31 ", 177.40 
2018,Africa,Zimbabwe,ZWE, 63.59 , 58.97 , 61.41 ," 7,966,181 "," 7,086,002 "," 15,052,184 "," 2,457.31 ", 180.09 
,,,,,, 52.55 ,,,,,
