Time,Region,Country Name,Country Code,"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2022,Africa,Comoros,COM,..,..,..,416416,420357,836774,3832.468985
2022,Africa,"Congo, Dem. Rep.",COD,..,..,..,49892177,49118035,99010212,1337.391115
2022,Africa,"Congo, Rep.",COG,..,..,..,2988624,2981800,5970424,3790.711307
2022,North America,Costa Rica,CRI,..,..,..,2590119,2590709,5180829,24922.65927
2022,Africa,Cote d'Ivoire,CIV,..,..,..,13944972,14215570,28160542,6538.29642
2022,Europe,Croatia,HRV,..,..,..,1976858,1877142,3854000,40379.57244
2022,North America,Cuba,CUB,..,..,..,5649497,5562694,11212191,..
2022,North America,Curacao,CUW,..,..,..,78085,71911,149996,..
2022,Europe,Cyprus,CYP,..,..,..,624713,626775,1251488,49930.86719
2022,Europe,Czechia,CZE,..,..,..,5340795,5185278,10526073,49945.5001
2022,Europe,Denmark,DNK,..,..,..,2966194,2936844,5903037,74005.47852
2022,Africa,Djibouti,DJI,..,..,..,564584,556264,1120849,5893.184863
2022,North America,Dominica,DMA,..,..,..,36577,36161,72737,13572.97298
2022,North America,Dominican Republic,DOM,..,..,..,5594560,5634261,11228821,22833.52575
2022,South America,Ecuador,ECU,..,..,..,9016398,8984602,18001000,12822.11378
2022,Africa,"Egypt, Arab Rep.",EGY,..,..,..,54865512,56124592,110990103,15090.99088
2022,North America,El Salvador,SLV,..,..,..,3319856,3016535,6336392,11096.2132
2022,Africa,Equatorial Guinea,GNQ,..,..,..,790982,883926,1674908,17396.01797
2022,Africa,Eritrea,ERI,..,..,..,1866154,1817878,3684032,..
2022,Europe,Estonia,EST,..,..,..,706316,638452,1344768,46697.35974
2022,Africa,Eswatini,SWZ,..,..,..,605504,596167,1201670,10782.15137
2022,Africa,Ethiopia,ETH,..,..,..,61399749,61980175,123379924,2811.581744
2022,Europe,Faroe Islands,FRO,..,..,..,25608,27482,53090,..
2022,Oceania,Fiji,FJI,..,..,..,463626,466140,929766,14125.29575
2022,Europe,Finland,FIN,..,..,..,2811103,2745778,5556880,59026.70734
2022,Europe,France,FRA,..,..,..,35105568,32830093,67935660,55492.56555
2022,Oceania,French Polynesia,PYF,..,..,..,151485,154794,306279,..
2022,Africa,Gabon,GAB,..,..,..,1173488,1215505,2388992,16470.58354
2022,Africa,"Gambia, The",GMB,..,..,..,1359657,1346335,2705992,2509.829512
2022,Asia,Georgia,GEO,..,..,..,1967488,1745015,3712502,20113.37724
2022,Europe,Germany,DEU,..,..,..,42593197,41486614,84079811,63149.59869
2022,Africa,Ghana,GHA,..,..,..,16780756,16695114,33475870,6498.385727
2022,Europe,Gibraltar,GIB,..,..,..,16341,16308,32649,..
2022,Europe,Greece,GRC,..,..,..,5395279,5171252,10566531,36834.87109
2022,North America,Greenland,GRL,..,..,..,26909,29753,56661,..
2022,North America,Grenada,GRD,..,..,..,62717,62721,125438,16987.12842
2022,Oceania,Guam,GUM,..,..,..,85329,86446,171774,..
2022,North America,Guatemala,GTM,..,..,..,8767508,8590378,17357886,10818.17172
2022,Africa,Guinea,GIN,..,..,..,7005320,6854020,13859341,3187.019343
2022,Africa,Guinea-Bissau,GNB,..,..,..,1065706,1039860,2105566,2190.439234
2022,South America,Guyana,GUY,..,..,..,412743,395982,808726,40641.78734
2022,North America,Haiti,HTI,..,..,..,5846285,5738710,11584996,3305.075955
2022,North America,Honduras,HND,..,..,..,5165506,5267354,10432860,6741.096947
2022,Asia,"Hong Kong SAR, China",HKG,..,..,..,3961508,3384592,7346100,69049.43654
2022,Europe,Hungary,HUN,..,..,..,5034412,4649092,9683505,41906.65557
2022,Europe,Iceland,ISL,..,..,..,186151,195748,381900,69081.26167
