TIME,COUNTRY,COUNTRY_CODE,LIFE_EXP_FEMALE,LIFE_EXP_MALE,LIFE_EXP_TOTAL,POP_FEMALE,POP_MALE,POP_TOTAL,GDP_CAPITA,HEALTH_CAPITA
2018,Eswatini,SWZ,63.169,55.882,59.411,586223,574204,1160428,8544.515756,618.4623168
2018,Ethiopia,ETH,68.397,62.606,65.412,55246462,55882976,111129438,2117.159362,69.94286693
2018,Faroe Islands,FRO,84.9,80.4,82.59512195,24596,26360,50955,..,..
2018,Fiji,FJI,69.664,66.031,67.81,456721,462276,918996,13631.17519,484.4193313
2018,Finland,FIN,84.5,79.1,81.73414634,2794292,2721234,5515525,49579.331,4484.572787
2018,France,FRA,85.8,79.7,82.67560976,34680632,32477716,67158348,46537.47404,5228.326116
2018,French Polynesia,PYF,85.427,80.474,82.783,146645,150960,297606,..,..
2018,Gabon,GAB,68.789,64.115,66.306,1072844,1119168,2192012,14597.14731,400.6807432
2018,"Gambia, The",GMB,64.251,61.826,63.04,1229801,1215115,2444916,2060.974632,68.91385855
2018,Georgia,GEO,78.153,68.495,73.341,1971912,1754637,3726549,14596.06929,1025.622776
2018,Germany,DEU,83.3,78.6,80.89268293,42006470,40899311,82905782,55195.84054,6337.138533
2018,Ghana,GHA,66.049,62.215,64.122,15472613,15398027,30870641,5248.46349,178.4555902
2018,Gibraltar,GIB,84.226,80.018,82.154,16351,16297,32648,..,..
2018,Greece,GRC,84.4,79.3,81.78780488,5471554,5261328,10732882,29617.54834,2403.162264
2018,Greenland,GRL,74.13,69.75,71.88658537,26462,29561,56023,..,..
2018,Grenada,GRD,77.796,72.06,74.808,60748,61090,121838,15772.04804,722.5865239
2018,Guam,GUM,81.314,73.887,77.439,83492,85186,168678,..,..
2018,Guatemala,GTM,75.571,69.896,72.726,8250539,8096410,16346950,8672.717782,514.1947009
2018,Guinea,GIN,60.298,58.326,59.349,6370216,6184649,12554864,2531.140575,94.6220739
2018,Guinea-Bissau,GNB,62.614,58.263,60.502,976163,948791,1924955,1896.406983,144.6249382
2018,Guyana,GUY,72.439,65.503,68.896,399474,386040,785514,12671.70299,621.5188382
2018,Haiti,HTI,66.919,61.231,64.019,5548683,5463738,11012421,3286.586198,141.318216
2018,Honduras,HND,75.318,70.461,72.814,4844019,4948831,9792850,5694.958543,411.6310776
2018,"Hong Kong SAR, China",HKG,87.7,82.3,84.93414634,4009595,3443005,7452600,62523.13559,..
2018,Hungary,HUN,79.6,72.7,76.06585366,5101926,4673638,9775564,31908.86345,2097.778882
2018,Iceland,ISL,84.5,81.3,82.86097561,172511,180210,352721,57197.76762,4789.19524
2018,India,IND,72.142,69.367,70.71,661854076,707149230,1369003306,6590.882301,188.661255
2018,Indonesia,IDN,72.403,68.311,70.338,132530163,134536680,267066843,11671.43233,334.6773833
2018,"Iran, Islamic Rep.",IRN,79.091,73.519,76.195,42283609,43333952,85617562,14980.63479,1115.413102
2018,Iraq,IRQ,73.293,69.559,71.514,20301429,20289270,40590700,10235.33636,414.2044655
2018,Ireland,IRL,84.1,80.4,82.20487805,2456754,2410562,4867316,84708.25092,5861.913951
2018,Isle of Man,IMN,82.488,78.709,80.596,42267,41508,83775,..,..
2018,Israel,ISR,84.8,80.9,82.80243902,4460839,4421961,8882800,40231.90526,3054.559056
2018,Italy,ITA,85.6,81.2,83.34634146,31012809,29408951,60421760,43036.24378,3732.510571
2018,Jamaica,JAM,73.903,69.695,71.793,1415821,1396014,2811835,10405.03397,620.9525214
2018,Japan,JPN,87.32,81.25,84.21097561,65140618,61670382,126811000,42141.9353,4545.894763
2018,Jordan,JOR,78.172,73.677,75.774,5024293,5435573,10459865,9814.924305,766.686742
2018,Kazakhstan,KAZ,77.19,68.84,73.15,9508427,8768025,18276452,26158.44577,726.6831364
2018,Kenya,KEN,65.158,60.288,62.676,25168522,24784782,49953304,4572.149937,187.3749144
2018,Kiribati,KIR,68.521,64.97,66.855,62820,59441,122261,2088.458928,259.6071038
2018,"Korea, Dem. People's Rep.",PRK,75.632,70.307,73.031,13003192,12634957,25638149,..,..
2018,"Korea, Rep.",KOR,85.7,79.7,82.62682927,25783018,25802041,51585058,43044.29176,3241.440204
2018,Kosovo,XKX,81.028,76.353,78.696,900766,896319,1797085,11013.72807,..
